,Dataset,Algorithm,Fold,Accuracy,Fscore,TrainingTime,NoFeatures,Meta
45,ozone_level,DynFS(EvolutionStrategyMpL),4.5,0.9432137188385049,0.1571744595274007,2231.3645057637245,12.0,
46,ozone_level,DynFS(GeneticAlgorithm),4.5,0.9329494880333634,0.1787714915990778,4726.30404557474,9.4,
47,ozone_level,DynFS(GreyWolfOptimizer),4.5,0.937314431545859,0.1380495148126727,2678.8139659553767,3.9,
48,ozone_level,DynFS(ParticleSwarmAlgorithm),4.5,0.9420279480875168,0.19046774848707335,4464.998629098385,11.6,
49,ozone_level,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.9420372848650835,0.15913431013431012,2240.871952847391,14.2,
50,ozone_level,EvoFS(EvolutionStrategyMpL),4.5,0.9357349600074694,0.10386775762936754,1985.7779272399844,7.9,
51,ozone_level,EvoFS(GeneticAlgorithm),4.5,0.9357349600074694,0.10386775762936754,1970.355206010118,7.9,
52,ozone_level,EvoFS(GreyWolfOptimizer),4.5,0.9357349600074694,0.10386775762936754,2001.8369265928864,7.9,
53,ozone_level,EvoFS(ParticleSwarmAlgorithm),4.5,0.9357349600074694,0.10386775762936754,1981.149737945199,7.9,
54,ozone_level,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.9357349600074694,0.10386775762936754,1975.751844208315,7.9,
55,spectrometer,CART,4.5,0.95104821802935,0.7111149961149963,0.016833532229065896,93.0,
56,spectrometer,DynFS(EvolutionStrategyMpL),4.5,0.9567085953878406,0.7242640692640692,808.7937534090131,12.1,
57,spectrometer,DynFS(GeneticAlgorithm),4.5,0.9472396925227115,0.7053574203574202,1589.8328412100673,12.7,
58,spectrometer,DynFS(GreyWolfOptimizer),4.5,0.960377358490566,0.725,1184.748319202289,6.5,
59,spectrometer,DynFS(ParticleSwarmAlgorithm),4.5,0.9604821802935009,0.7578354978354978,1446.7583836637436,14.2,
60,spectrometer,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.9453529000698812,0.6658241758241756,752.6843629028648,12.4,
61,spectrometer,EvoFS(EvolutionStrategyMpL),4.5,0.9170510132774282,0.43515873015873013,611.733208706975,3.4,
62,spectrometer,EvoFS(GeneticAlgorithm),4.5,0.9170510132774282,0.43515873015873013,600.9832538664341,3.4,
63,spectrometer,EvoFS(GreyWolfOptimizer),4.5,0.9170510132774282,0.43515873015873013,606.0031699948013,3.4,
64,spectrometer,EvoFS(ParticleSwarmAlgorithm),4.5,0.9170510132774282,0.43515873015873013,605.6247421234846,3.4,
65,spectrometer,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.9170510132774282,0.43515873015873013,615.2253257174045,3.4,
66,us_crime,CART,4.5,0.9011984924623118,0.4111968794962154,0.056318147107958794,100.0,
67,us_crime,DynFS(EvolutionStrategyMpL),4.5,0.9112638190954774,0.41089257317065997,2156.1473459504546,16.8,
68,us_crime,DynFS(GeneticAlgorithm),4.5,0.8967035175879398,0.3392134135279296,4548.5357457995415,14.1,
69,us_crime,DynFS(GreyWolfOptimizer),4.5,0.897713567839196,0.37169196128956977,2607.213798738271,5.6,
70,us_crime,DynFS(ParticleSwarmAlgorithm),4.5,0.8906984924623116,0.31400712199298864,4475.898687995225,14.9,
71,us_crime,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.8992085427135679,0.338764003320455,2255.9900502845644,15.3,
72,us_crime,EvoFS(EvolutionStrategyMpL),4.5,0.9012085427135679,0.3646233104297621,2450.801380953938,13.4,
73,us_crime,EvoFS(GeneticAlgorithm),4.5,0.9012085427135679,0.3646233104297621,2444.053274822235,13.4,
74,us_crime,EvoFS(GreyWolfOptimizer),4.5,0.9012085427135679,0.3646233104297621,2453.6910124227406,13.4,
75,us_crime,EvoFS(ParticleSwarmAlgorithm),4.5,0.9012085427135679,0.3646233104297621,2450.533571569994,13.4,
76,us_crime,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.9012085427135679,0.3646233104297621,2448.216079911217,13.4,
77,yeast_ml8,CART,4.5,0.8531394670964646,0.06436879574687923,0.3653218798339367,103.0,
78,yeast_ml8,DynFS(EvolutionStrategyMpL),4.5,0.8622218030931725,0.1098134609201169,10758.324097831919,14.4,
79,yeast_ml8,DynFS(GeneticAlgorithm),4.5,0.8493964541682384,0.05074271043462314,23673.42990465239,14.9,
80,yeast_ml8,DynFS(GreyWolfOptimizer),4.5,0.8630636809437264,0.09039976116214507,10759.882871478423,4.4,
81,yeast_ml8,DynFS(ParticleSwarmAlgorithm),4.5,0.856863619217448,0.08293789109370324,23992.82087969072,17.5,
82,yeast_ml8,DynFS(SelfAdaptiveDifferentialEvolution),4.5,0.8680309317238779,0.11964172688281347,11395.484656745568,18.2,
83,yeast_ml8,EvoFS(EvolutionStrategyMpL),4.5,0.848587154075649,0.07428301903990739,8394.056142876298,9.0,
84,yeast_ml8,EvoFS(GeneticAlgorithm),4.5,0.848587154075649,0.07428301903990739,8388.94160315469,9.0,
85,yeast_ml8,EvoFS(GreyWolfOptimizer),4.5,0.848587154075649,0.07428301903990739,8385.285587447137,9.0,
86,yeast_ml8,EvoFS(ParticleSwarmAlgorithm),4.5,0.848587154075649,0.07428301903990739,8394.70847526118,9.0,
87,yeast_ml8,EvoFS(SelfAdaptiveDifferentialEvolution),4.5,0.848587154075649,0.07428301903990739,8401.119119985402,9.0,
